Date,AAPL,AMZN,FB,GOOG,NFLX
2019-05-31,43.03481674194336,1775.0699462890625,177.47000122070312,1103.6300048828125,343.2799987792969
2019-06-03,42.5997200012207,1692.68994140625,164.14999389648438,1036.22998046875,336.6300048828125
2019-06-04,44.15818405151367,1729.56005859375,167.5,1053.050048828125,353.3999938964844
2019-06-05,44.87104415893555,1738.5,168.1699981689453,1042.219970703125,355.7300109863281
2019-06-06,45.52982711791992,1754.3599853515625,168.3300018310547,1044.3399658203125,357.1300048828125
2019-06-07,46.74169921875,1804.030029296875,173.35000610351562,1066.0400390625,360.8699951171875
2019-06-10,47.33903121948242,1860.6300048828125,174.82000732421875,1080.3800048828125,352.010009765625
2019-06-11,47.8871955871582,1863.699951171875,178.10000610351562,1078.719970703125,351.2699890136719
2019-06-12,47.73478698730469,1855.3199462890625,175.0399932861328,1077.030029296875,345.55999755859375
2019-06-13,47.72495651245117,1870.300048828125,177.47000122070312,1088.77001953125,343.42999267578125
2019-06-14,47.37836837768555,1869.6700439453125,181.3300018310547,1085.3499755859375,339.7300109863281
2019-06-17,47.66104507446289,1886.030029296875,189.00999450683594,1092.5,350.6199951171875
2019-06-18,48.78196716308594,1901.3699951171875,188.47000122070312,1103.5999755859375,357.1199951171875
2019-06-19,48.63938903808594,1908.7900390625,187.47999572753906,1102.3299560546875,363.5199890136719
2019-06-20,49.030235290527344,1918.18994140625,189.52999877929688,1111.4200439453125,365.2099914550781
2019-06-21,48.86307907104492,1911.300048828125,191.13999938964844,1121.8800048828125,369.2099914550781
2019-06-24,48.81391906738281,1913.9000244140625,192.60000610351562,1115.52001953125,371.0400085449219
2019-06-25,48.07402038574219,1878.27001953125,188.83999633789062,1086.3499755859375,360.29998779296875
2019-06-26,49.11381149291992,1897.8299560546875,187.66000366210938,1079.800048828125,362.20001220703125
2019-06-27,49.099063873291016,1904.280029296875,189.5,1076.010009765625,370.0199890136719
2019-06-28,48.65167999267578,1893.6300048828125,193.0,1080.9100341796875,367.32000732421875
2019-07-01,49.543983459472656,1922.18994140625,193.0,1097.949951171875,374.6000061035156
2019-07-02,49.834049224853516,1934.31005859375,195.0,1111.25,375.42999267578125
2019-07-03,50.24702072143555,1939.0,197.1999969482422,1121.5799560546875,381.7200012207031
2019-07-05,50.20277404785156,1942.9100341796875,196.39999389648438,1131.5899658203125,380.54998779296875
2019-07-08,49.16789245605469,1952.3199462890625,195.75999450683594,1116.3499755859375,376.1600036621094
2019-07-09,49.4677848815918,1988.300048828125,199.2100067138672,1124.8299560546875,379.92999267578125
2019-07-10,49.95695495605469,2017.4100341796875,202.72999572753906,1140.47998046875,381.0
2019-07-11,49.59315490722656,2001.0699462890625,201.22999572753906,1144.2099609375,379.5
2019-07-12,49.97416305541992,2011.0,204.8699951171875,1144.9000244140625,373.25
2019-07-15,50.44367980957031,2020.989990234375,203.91000366210938,1150.3399658203125,366.6000061035156
2019-07-16,50.269142150878906,2009.9000244140625,203.83999633789062,1153.5799560546875,365.989990234375
2019-07-17,49.9864616394043,1992.030029296875,201.8000030517578,1146.3499755859375,362.44000244140625
2019-07-18,50.554290771484375,1977.9000244140625,200.77999877929688,1146.3299560546875,325.2099914550781
2019-07-19,49.79964065551758,1964.52001953125,198.36000061035156,1130.0999755859375,315.1000061035156
2019-07-22,50.9377555847168,1985.6300048828125,202.32000732421875,1138.0699462890625,310.6199951171875
2019-07-23,51.335975646972656,1994.489990234375,202.36000061035156,1146.2099609375,307.29998779296875
2019-07-24,51.294189453125,2000.81005859375,204.66000366210938,1137.81005859375,317.94000244140625
2019-07-25,50.88859939575195,1973.8199462890625,200.7100067138672,1132.1199951171875,326.4599914550781
2019-07-26,51.06558609008789,1943.050048828125,199.75,1250.4100341796875,335.7799987792969
2019-07-29,51.54246139526367,1912.449951171875,195.94000244140625,1239.4100341796875,332.70001220703125
2019-07-30,51.321231842041016,1898.530029296875,197.0399932861328,1225.1400146484375,325.92999267578125
2019-07-31,52.3683967590332,1866.780029296875,194.22999572753906,1216.6800537109375,322.989990234375
2019-08-01,51.235191345214844,1855.3199462890625,192.72999572753906,1209.010009765625,319.5
2019-08-02,50.15115737915039,1823.239990234375,189.02000427246094,1193.989990234375,318.8299865722656
2019-08-05,47.52585220336914,1765.1300048828125,181.72999572753906,1152.3199462890625,307.6300048828125
2019-08-06,48.42552947998047,1787.8299560546875,184.50999450683594,1169.949951171875,310.1000061035156
2019-08-07,48.92699432373047,1793.4000244140625,185.14999389648438,1173.989990234375,304.2900085449219
2019-08-08,50.00612258911133,1832.8900146484375,190.16000366210938,1204.800048828125,315.8999938964844
2019-08-09,49.594051361083984,1807.5799560546875,187.85000610351562,1188.010009765625,308.92999267578125
2019-08-12,49.46820831298828,1784.9200439453125,185.3699951171875,1174.7099609375,310.8299865722656
2019-08-13,51.563106536865234,1824.3399658203125,188.4499969482422,1197.27001953125,312.2799987792969
2019-08-14,50.02832794189453,1762.9599609375,179.7100067138672,1164.2900390625,299.1099853515625
2019-08-15,49.779109954833984,1776.1199951171875,182.58999633789062,1167.260009765625,295.760009765625
2019-08-16,50.953636169433594,1792.5699462890625,183.6999969482422,1177.5999755859375,302.79998779296875
2019-08-19,51.90362548828125,1816.1199951171875,186.1699981689453,1198.449951171875,309.3800048828125
2019-08-20,51.906089782714844,1801.3800048828125,183.80999755859375,1182.68994140625,298.989990234375
2019-08-21,52.46867752075195,1823.5400390625,183.5500030517578,1191.25,297.80999755859375
2019-08-22,52.42426300048828,1804.6600341796875,182.0399932861328,1189.530029296875,296.92999267578125
