数据来源：高顿教育 CQF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,rank2008,rank2009,rank2010,rank2011,rank2012,rank2013,rank2014,rank2015,rank2016,rank2017,rank2018,rank2019,rank2020,rank2021,ave_rank
212,70001,-0.4123,0.4599,0.0129,-0.155,0.099,0.2809,0.1888,0.6686,-0.0906,0.1636,-0.2479,0.1444,0.6892,-0.0111,30,204,116,24,50,22,121,17,86,123,147,237,45,146,97
218,70002,-0.3936,0.6033,0.2487,-0.187,0.0553,0.1412,0.1488,0.6743,-0.0779,0.0312,-0.1084,0.5221,0.6567,-0.0049,24,152,1,49,103,90,151,16,66,195,11,56,55,141,79
111,70003,-0.513,0.4207,-0.0554,-0.1763,0.0068,0.1374,0.1234,0.3071,-0.1117,0.22,-0.2167,0.3248,0.3623,-0.0659,131,217,186,36,188,93,170,145,111,78,95,186,192,201,144
162,70006,-0.473,0.7701,0.1787,-0.2097,0.052,0.206,0.1919,0.3783,-0.1855,0.0292,-0.305,0.3538,0.6177,-0.0403,80,70,19,83,112,45,117,111,169,197,209,169,68,173,115
96,70010,-0.5249,0.8249,0.1911,-0.2024,0.0232,-0.0537,0.1198,0.5615,-0.1668,0,-0.2723,0.2112,0.8094,-0.0511,146,46,11,70,160,223,171,42,157,211,176,225,20,185,131
110,70011,-0.5134,0.7269,0.1991,-0.2348,0.1069,0.1304,0.148,0.5919,-0.2501,0.1199,-0.3212,0.4224,0.5426,-0.0355,132,93,9,127,43,101,153,33,212,145,221,112,108,170,118
135,70012,-0.4937,0.5795,-0.0259,-0.2408,0.1946,0.0733,0,-0.041,0.0522,0.3444,-0.1532,0.1955,0.2851,-0.1878,107,159,151,146,2,161,236,240,4,22,27,230,208,242,138
156,70099,-0.4772,0.5279,0.2324,-0.2063,0.1219,0.1541,0.0222,0.7705,-0.1629,0.1765,-0.2385,0.4877,0.7814,-0.0249,86,180,4,77,25,84,228,6,151,111,131,73,23,153,95
177,80001,-0.4586,0.5252,0.1541,-0.2211,0.0101,0.1488,0.3243,0.5137,-0.0829,0.1575,-0.1971,0.3329,0.3398,0.1167,65,181,25,106,181,86,48,55,76,126,69,182,195,52,103
130,90001,-0.4965,0.6796,0.0695,-0.2638,0.0113,0.0116,0.3142,0.4907,0.0252,0.0354,-0.2112,0.2294,0.5481,0.0423,112,113,61,179,180,200,54,65,9,192,86,223,105,96,119
28,90003,-0.5856,0.7123,0.0578,-0.2967,0.0665,-0.0501,0.1943,0.1318,-0.1067,0.2449,-0.2259,0.3228,0.4059,-0.0404,214,99,74,217,88,221,113,207,105,65,112,188,176,174,146
95,90004,-0.5251,0.7592,0.0179,-0.2946,0.0602,0.1032,0.1482,0.2724,0.0791,0.3101,-0.2095,0.3926,0.506,-0.0824,147,72,113,215,93,127,152,156,1,32,85,144,128,210,119
44,90006,-0.5652,0.6751,0.1257,-0.2403,-0.0224,0.0294,0.0222,0.2997,-0.0812,-0.0663,-0.0613,0.0979,0.1527,0.0598,198,116,31,145,216,186,228,148,71,234,4,238,236,85,152
195,100016,-0.4375,0.4966,0.1808,-0.1556,0.0437,0.2017,0.1539,0.7314,-0.209,0.3672,-0.2954,0.3961,0.4995,0.0835,47,197,17,25,124,48,148,9,190,12,199,138,130,73,96
193,100020,-0.4383,0.4973,0.0589,-0.2123,0.0591,0.0646,0.2087,0.4291,-0.1278,0.3376,-0.2203,0.5787,0.8975,-0.0278,49,196,73,90,96,164,107,88,123,23,98,32,6,158,93
140,100022,-0.4848,0.9916,-0.0922,-0.1131,0.1301,0.0877,0.1623,0.415,-0.0895,0.3522,-0.2641,0.4203,0.8886,0.1392,102,11,212,10,19,145,139,97,84,18,169,116,9,39,83
167,100026,-0.4676,0.7105,0.0724,-0.247,0.06,0.3315,0.2434,0.7171,-0.0916,0.2529,-0.1988,0.4634,0.5537,0.098,75,101,57,157,94,11,87,11,88,58,76,87,100,64,76
225,110001,-0.3674,0.2795,-0.0332,-0.2023,0.0119,0.177,0.1951,0.6216,-0.1122,0.1976,-0.1753,0.3981,0.4519,0.1484,17,237,160,69,179,64,112,21,112,93,45,136,154,37,102
148,110002,-0.4818,0.6206,-0.0399,-0.1938,0.0534,0.2124,0.1379,0.2424,-0.3512,0.1742,-0.3218,0.4143,0.323,0.0922,94,140,176,60,108,42,161,169,239,115,222,123,202,68,137
8,110003,-0.6395,0.7736,-0.1918,-0.1806,0.1473,-0.1135,0.6094,0.0381,-0.0075,0.4128,-0.1664,0.5109,0.4382,-0.1431,234,67,238,44,11,237,6,229,24,9,39,63,159,239,114
176,110005,-0.4586,0.6329,0.0532,-0.2654,0.0287,0.1827,-0.0033,0.2458,-0.0485,0.1989,-0.2833,0.4023,0.3434,0.2342,65,132,77,183,149,57,237,168,47,91,192,132,194,17,124
174,110009,-0.4613,0.635,0.002,-0.24,0.0715,-0.0411,0.0991,0.7324,-0.2163,0.1909,-0.2375,0.4367,0.6026,0.1017,68,131,128,143,82,217,181,8,193,99,127,98,78,62,115
78,110010,-0.5362,1.029,0.0294,-0.2752,0.0094,0.1653,0.0013,0.6765,-0.2601,0.2978,-0.2748,0.4207,0.4369,0.0252,164,7,104,195,182,71,234,15,215,38,184,115,161,113,128
210,110029,-0.4178,0.4236,-0.0354,-0.2476,0.0551,0.518,0.0453,0.9542,-0.3587,0.0477,-0.2963,0.5572,0.563,0.1199,32,215,168,159,104,3,217,1,240,185,202,39,95,49,122
155,112002,-0.4777,0.6118,-0.0339,-0.1927,0.0568,0.2072,0.1465,0.2313,-0.3244,0.1778,-0.3227,0.4189,0.3361,0.0991,87,146,162,58,100,44,154,171,234,110,223,120,198,63,133
237,121001,-0.2362,0.4273,0.0712,-0.0863,0.0172,0.1212,0.2031,0.2041,0.0398,0.0156,-0.1365,0.0509,0.0316,0.0002,5,214,58,5,173,112,109,185,5,204,18,241,240,128,121
219,121002,-0.3934,0.5761,0.0326,-0.1779,0.0473,0.1089,0.1663,0.3163,-0.1191,0.0171,-0.1298,0.4409,0.5326,0.1219,23,160,101,40,117,122,135,141,118,203,17,97,118,47,102
99,121003,-0.5209,0.7447,-0.037,-0.2599,0.0182,0.0165,0.2809,0.1916,-0.3215,0.0323,-0.1606,0.4564,0.5286,0.155,143,80,171,176,172,195,74,193,233,193,35,92,121,34,136
104,121005,-0.5172,0.8052,0.0164,-0.2069,0.0287,0.075,0.1584,0.3384,-0.0533,0.0463,-0.1718,0.4931,0.6081,-0.0414,138,55,115,78,149,160,143,132,52,186,42,70,72,175,111
179,150103,-0.4558,0.516,0.1851,-0.154,0.0383,0.2232,0.1397,0.5751,-0.2164,0.1738,-0.3024,0.4635,0.6713,0.1064,63,185,12,23,136,35,160,39,194,116,206,85,49,56,97
208,151001,-0.4223,0.6032,0.0677,-0.1665,0.0371,0.2302,0.1767,0.5046,-0.0755,0.1363,-0.159,0.3478,0.7432,0.1182,34,153,65,29,137,33,128,57,63,136,32,172,33,50,80
11,159901,-0.6343,1.1364,-0.0338,-0.3054,0.0227,-0.0315,0.3408,0.2302,-0.1485,0.2768,-0.3418,0.568,0.5086,-0.0326,231,3,161,222,161,215,43,173,141,49,230,38,127,164,139
93,159902,-0.5262,0.9419,0.2071,-0.3671,-0.0124,0.179,0.0929,0.5461,-0.2075,0.1716,-0.3703,0.4142,0.449,-0.0043,149,13,7,240,209,63,184,46,187,118,237,124,156,139,133
119,160105,-0.5052,0.5323,0.0698,-0.2329,0.0189,0.0814,0.2746,0.4363,-0.101,0.15,-0.2783,0.2855,0.3364,0.0466,123,177,60,125,170,151,77,84,101,129,187,208,197,92,134
50,160106,-0.5607,0.5537,0.123,-0.2759,0.1291,0.1816,0.289,0.3664,-0.1197,0.0677,-0.3613,0.4764,0.5298,0.1233,192,173,35,198,20,61,68,118,119,179,236,79,119,45,117
204,160311,-0.4285,0.6116,-0.0107,-0.262,0.071,0.1597,0.2929,0.3023,-0.1303,0.2653,-0.2254,0.3618,0.3743,-0.1651,38,147,138,177,85,78,64,146,126,54,108,160,188,241,125
188,160314,-0.4451,0.7861,-0.024,-0.1994,0.0524,0.2269,0.2283,0.5256,-0.1847,0.1372,-0.291,0.423,0.5497,0.126,54,63,148,66,109,34,93,51,168,135,194,111,102,43,97
150,160505,-0.4814,0.7151,-0.1061,-0.0963,0.1716,0.0256,0.6136,0.211,0.033,0.3196,-0.2427,0.415,0.3228,-0.0288,92,97,217,6,4,187,5,181,7,27,138,122,203,159,103
103,160603,-0.5175,0.6902,0.1137,-0.2396,0.0247,0.0615,0.2758,0.4262,-0.0741,0.0227,-0.2086,0.4912,0.7992,0.0038,139,110,37,139,156,167,76,90,61,199,84,71,21,127,105
138,160605,-0.4886,0.7387,0.0358,-0.2388,0.1341,0.1002,0.0056,0.4487,-0.235,0.1285,-0.307,0.7545,0.8504,-0.095,104,84,99,138,18,129,233,78,206,141,210,7,17,222,120
94,160607,-0.5253,0.8078,-0.1343,-0.0993,0.0937,0.0196,0.4615,0.1924,-0.0723,0.2808,-0.2918,0.5483,0.4766,-0.0169,148,53,226,9,54,193,26,191,60,46,195,43,142,147,109
68,160610,-0.544,0.7924,-0.0351,-0.224,0.0928,0.0541,0.0861,0.315,-0.0946,0.1204,-0.1937,0.3145,0.7109,0.1023,174,60,167,110,55,169,188,143,95,144,63,195,39,61,118
84,160611,-0.5307,0.7548,-0.0657,-0.217,0.0465,0.018,0.0697,0.1678,-0.1343,-0.0857,-0.1578,0.4949,0.7471,-0.1004,158,75,197,98,118,194,207,202,130,238,30,68,32,224,140
6,160706,-0.6436,0.9197,-0.1145,-0.2295,0.0881,-0.0516,0.5112,0.0698,-0.0872,0.2218,-0.2278,0.3578,0.2653,-0.0495,236,16,221,120,61,222,19,225,81,77,114,162,215,183,139
127,160805,-0.5001,0.5715,0.0047,-0.2481,-0.029,0.1048,0.4635,0.1274,-0.2365,0.0375,-0.2646,0.2821,0.5575,0.3383,115,166,124,160,220,126,25,210,209,190,170,210,97,7,144
33,160910,-0.5777,0.6875,0.0444,-0.3009,0.1101,-0.0261,0.307,0.2267,-0.2007,0.2839,-0.1768,0.3566,0.3641,0.0321,209,112,86,220,38,212,58,175,182,45,48,165,191,105,131
161,161005,-0.4735,0.758,0.1937,-0.2529,0.0626,0.1818,0.2542,0.6923,-0.1552,0.2778,-0.2695,0.6214,0.5864,-0.0291,81,73,10,165,90,60,83,14,147,47,174,20,84,160,86
183,161601,-0.4486,0.4892,-0.0125,-0.2304,0.0444,0.064,0.192,0.3731,-0.3431,0.1618,-0.1734,0.1925,0.4601,-0.0658,58,200,140,123,123,165,116,114,238,124,43,231,149,200,144
17,161604,-0.6061,1.0378,-0.0366,-0.2966,0.0214,-0.0419,0.326,0.2079,-0.1507,0.2376,-0.3323,0.539,0.4811,-0.0358,225,6,170,216,164,218,47,182,144,70,229,51,140,171,145
131,161605,-0.496,0.5059,-0.0601,-0.1903,0.0287,0.07,0.3567,0.329,-0.1666,0.0939,-0.2145,0.4477,0.1532,0.0107,111,193,191,54,149,162,40,137,156,159,90,94,235,123,135
21,161606,-0.5944,0.913,-0.0568,-0.3534,0.0854,0.1474,0.0536,0.4686,-0.1829,0.0907,-0.1383,0.872,0.6132,-0.0889,221,19,188,237,63,87,212,72,167,161,21,3,70,218,124
7,161607,-0.6396,0.8492,-0.1839,-0.2053,0.1145,-0.1015,0.5676,-0.032,-0.0597,0.2385,-0.2025,0.4107,0.4262,-0.0651,235,34,237,76,34,235,14,239,54,67,79,128,166,199,128
48,161609,-0.5612,0.4976,-0.0384,-0.3077,0.0262,0.2136,0.4431,0.1942,-0.127,0.0314,-0.1981,0.3487,0.5342,-0.0513,194,195,173,224,153,40,29,189,122,194,73,170,116,187,147
60,161610,-0.5504,0.7541,-0.0393,-0.2726,-0.0483,0.0609,-0.0055,0.7102,-0.2892,0.1401,-0.2121,0.6126,0.6162,-0.0589,182,77,175,193,231,168,238,12,227,133,87,22,69,192,143
47,161706,-0.562,0.7373,-0.0071,-0.2831,0.0559,0.0127,0.1565,0.41,-0.2173,0.215,-0.2378,0.5955,0.8908,-0.0699,195,86,132,202,102,198,146,102,195,81,128,24,8,202,128
122,161903,-0.5043,0.6652,-0.0357,-0.2814,-0.0347,-0.0106,0.0269,0.7701,0.0159,0.0082,-0.1266,0.898,0.9732,0.05,120,120,169,201,225,205,227,7,13,208,15,2,2,90,114
185,162006,-0.4483,0.7435,0.0265,-0.2294,0.0796,0.0753,0.1543,0.3295,-0.2261,0.2509,-0.2249,0.3373,0.6584,0.2443,57,81,107,119,71,159,147,136,198,59,106,178,54,16,106
227,162102,-0.3504,0.8048,0.1847,-0.3099,0.0047,0.1359,0.2607,0.5333,-0.1491,0.0227,-0.1798,0.3974,0.2836,0.2339,15,56,14,225,190,96,82,49,143,199,50,137,209,18,105
230,162201,-0.3161,0.5212,0.2232,-0.2717,0.089,0.3078,0.1598,0.4689,-0.2296,-0.0352,-0.1991,0.6966,0.1583,0.4923,12,182,6,192,59,16,142,71,202,225,77,12,234,2,102
215,162202,-0.4053,0.7149,0.0951,-0.2858,0.0763,0.1264,0.1927,0.2887,-0.1078,0.1041,-0.2815,0.478,0.6876,0.4363,27,98,44,206,74,104,114,152,106,151,190,78,46,3,99
175,162203,-0.46,0.4203,0.0599,-0.17,0.084,0.129,0.3679,0.0838,-0.2202,0.3597,-0.189,0.5946,0.8814,-0.0788,67,218,72,31,65,103,37,220,196,14,58,25,10,209,94
141,162204,-0.4844,0.7109,0.1273,-0.2399,0.0212,0.2027,0.0976,0.1247,-0.3011,0.2468,-0.2537,0.5901,0.9167,0.0247,101,100,30,141,165,47,182,212,229,62,157,26,5,114,112
239,162205,-0.1475,0.3627,-0.0473,-0.0347,0.0974,0.214,0.117,0.121,0.022,0.0417,-0.0891,0.1685,0.2031,0.0371,3,229,180,2,51,39,172,213,11,189,7,233,226,101,118
171,162207,-0.462,0.4458,0.1627,-0.2436,0.0959,0.2345,0.4432,-0.0258,-0.158,0.2342,-0.2504,0.4217,0.5433,-0.1552,71,210,23,152,53,29,28,236,148,71,151,113,107,240,116
53,162208,-0.5585,0.7968,-0.1035,-0.2169,0.0426,0.2796,0.185,0.2559,-0.1935,0.2001,-0.3248,0.6665,0.7511,0.1351,189,57,216,97,127,23,123,165,180,89,225,16,31,42,112
32,162209,-0.5787,0.7458,0.0686,-0.2472,0.1133,0.1828,0.0881,0.1554,-0.3176,0.2219,-0.3157,0.6537,0.6001,-0.0865,210,79,62,158,35,56,186,203,231,76,218,18,81,216,130
118,162605,-0.5077,0.575,-0.1085,-0.2166,0.0669,0.2331,0.1046,0.3797,-0.0506,0.5552,-0.1677,0.6904,0.9303,-0.0906,124,162,218,96,87,31,178,110,50,2,40,13,3,221,95
57,162607,-0.5538,0.7317,-0.0096,-0.2286,0.0306,0.1257,0.1436,0.2527,-0.0839,0.3091,-0.2215,0.5482,0.4113,-0.0461,185,90,136,117,146,106,157,167,78,33,100,44,171,181,122
22,162703,-0.5926,0.8759,0.0403,-0.2752,0.1213,-0.0114,0.1534,0.2236,-0.1487,0.2869,-0.2599,0.9317,0.7432,-0.035,220,30,93,195,27,206,149,177,142,43,165,1,33,168,117
157,163302,-0.4762,0.7675,0.1851,-0.1809,-0.0097,0.1193,0.0497,0.4245,-0.1003,0.1839,-0.2515,0.2104,0.7102,0.0935,85,71,12,45,206,115,216,91,100,103,154,226,40,67,109
214,163402,-0.4068,0.6932,-0.0277,-0.1815,0.0547,0.08,0.3641,0.4307,-0.0178,0.253,-0.1763,0.4267,0.48,-0.0254,28,109,155,46,105,154,38,87,31,57,47,106,141,156,90
36,163503,-0.5731,0.506,0.0128,-0.2518,0.1173,0.1638,0.1782,0.3351,-0.2945,0.0768,-0.278,0.3267,0.4681,0.1055,206,192,117,164,30,73,127,134,228,172,186,183,144,58,143
217,163801,-0.3979,0.7373,0.1289,-0.1864,0.1147,0.2096,0.0434,0.366,-0.1288,0.098,-0.1086,0.3481,0.6636,-0.1033,25,86,28,48,33,43,219,119,124,155,12,171,51,226,95
164,163803,-0.4704,0.6242,0.0245,-0.2537,0.0902,0.0907,0.3328,0.3369,-0.2308,0.101,-0.1982,0.25,0.6426,0.2201,78,135,108,166,57,140,46,133,203,153,74,219,60,21,113
