,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
36,SPY210305C00355000,2021-03-02 19:35:53,355.0,21.18,21.95,22.18,-6.4699993,-23.399635,22.0,50,0.7309597216796875,True,REGULAR,USD
37,SPY210305C00356000,2021-03-04 19:27:29,356.0,21.16,20.98,21.19,-7.83,-27.009314,20.0,61,0.711916943359375,True,REGULAR,USD
38,SPY210305C00357000,2021-03-03 19:57:56,357.0,24.02,19.99,20.19,-1.9699993,-7.5798354,4.0,18,0.6865265722656251,True,REGULAR,USD
39,SPY210305C00357500,2021-02-26 14:48:16,357.5,27.36,19.49,19.7,0.0,0.0,1.0,20,0.6738313867187502,True,REGULAR,USD
40,SPY210305C00358000,2021-03-04 20:28:27,358.0,17.6,18.98,19.2,-8.369999,-32.229492,11.0,19,0.65820654296875,True,REGULAR,USD
41,SPY210305C00359000,2021-03-01 14:32:47,359.0,15.84,18.01,18.22,-9.200001,-36.741215,80.0,10,0.639652041015625,True,REGULAR,USD
42,SPY210305C00360000,2021-03-04 21:14:30,360.0,17.1,17.03,17.23,-4.5,-20.833332,654.0,239,0.6162147753906251,True,REGULAR,USD
43,SPY210305C00361000,2021-03-04 20:51:38,361.0,15.94,16.04,16.25,-6.87,-30.11837,90.0,134,0.5922892333984376,True,REGULAR,USD
44,SPY210305C00362000,2021-03-04 19:25:46,362.0,14.05,15.07,15.27,-5.38,-27.68914,66.0,45,0.5712933496093751,True,REGULAR,USD
45,SPY210305C00362500,2021-03-04 16:38:57,362.5,20.25,14.56,14.78,-0.059999466,-0.29541835,8.0,200,0.5566450585937501,True,REGULAR,USD
46,SPY210305C00363000,2021-03-04 19:21:58,363.0,13.19,14.1,14.3,-6.010001,-31.302088,63.0,42,0.5502974658203126,True,REGULAR,USD
47,SPY210305C00364000,2021-03-04 19:27:29,364.0,11.38,13.13,13.33,-8.88,-43.830208,113.0,39,0.5288133056640626,True,REGULAR,USD
48,SPY210305C00365000,2021-03-04 21:05:06,365.0,12.3,12.18,12.38,-5.05,-29.106628,1149.0,263,0.5107470800781251,True,REGULAR,USD
49,SPY210305C00366000,2021-03-04 20:57:08,366.0,10.37,11.24,11.43,-5.42,-34.325523,288.0,643,0.5151415673828125,True,REGULAR,USD
50,SPY210305C00367000,2021-03-04 21:01:42,367.0,10.4,10.38,10.46,-5.8199997,-35.881626,3204.0,13,0.4880422290039063,True,REGULAR,USD
51,SPY210305C00367500,2021-03-04 20:52:36,367.5,8.76,9.92,9.98,-5.74,-39.586205,185.0,301,0.47510290527343746,True,REGULAR,USD
52,SPY210305C00368000,2021-03-04 21:11:02,368.0,9.33,9.47,9.53,-4.7200003,-33.594307,702.0,242,0.4682670361328125,True,REGULAR,USD
53,SPY210305C00369000,2021-03-04 21:11:02,369.0,8.43,8.58,8.65,-4.7799997,-36.184708,476.0,255,0.4555718505859375,True,REGULAR,USD
54,SPY210305C00370000,2021-03-04 21:14:42,370.0,7.78,7.72,7.79,-4.4599996,-36.437904,4489.0,518,0.44312080322265623,True,REGULAR,USD
55,SPY210305C00371000,2021-03-04 21:04:41,371.0,6.84,6.89,6.95,-4.3599997,-38.92857,1664.0,139,0.43018147949218755,True,REGULAR,USD
56,SPY210305C00372000,2021-03-04 21:14:36,372.0,6.11,6.09,6.16,-4.32,-41.418983,4309.0,392,0.42090422851562503,True,REGULAR,USD
57,SPY210305C00372500,2021-03-04 20:47:46,372.5,5.23,5.7,5.77,-6.03,-53.552402,3721.0,117,0.415044912109375,True,REGULAR,USD
58,SPY210305C00373000,2021-03-04 21:09:12,373.0,5.25,5.34,5.39,-4.76,-47.55245,11319.0,625,0.4096738720703125,True,REGULAR,USD
59,SPY210305C00374000,2021-03-04 21:12:59,374.0,4.67,4.62,4.67,-3.9399996,-45.76074,20884.0,804,0.40015248291015626,True,REGULAR,USD
60,SPY210305C00375000,2021-03-04 21:14:36,375.0,3.98,3.95,4.0,-3.8899999,-49.428207,43526.0,450,0.3918517846679687,True,REGULAR,USD
61,SPY210305C00376000,2021-03-04 21:14:40,376.0,3.39,3.34,3.37,-3.86,-53.24138,57924.0,403,0.3825745336914062,True,REGULAR,USD
62,SPY210305C00377000,2021-03-04 21:14:43,377.0,2.8,2.77,2.8,-3.39,-54.765755,56574.0,635,0.3745179736328125,False,REGULAR,USD
63,SPY210305C00377500,2021-03-04 21:14:24,377.5,2.52,2.51,2.54,-4.51,-64.15363,19083.0,349,0.3711000390625,False,REGULAR,USD
64,SPY210305C00378000,2021-03-04 21:14:58,378.0,2.28,2.26,2.29,-3.2,-58.394165,42434.0,753,0.367193828125,False,REGULAR,USD
65,SPY210305C00379000,2021-03-04 21:14:45,379.0,1.83,1.8,1.83,-2.9900002,-62.0332,40509.0,1701,0.3588931298828125,False,REGULAR,USD
66,SPY210305C00380000,2021-03-04 21:14:56,380.0,1.44,1.41,1.43,-2.69,-65.13317,163163.0,12121,0.35108070800781244,False,REGULAR,USD
67,SPY210305C00381000,2021-03-04 21:14:48,381.0,1.1,1.08,1.1,-2.46,-69.10113,65527.0,4614,0.344733115234375,False,REGULAR,USD
68,SPY210305C00382000,2021-03-04 21:14:52,382.0,0.81,0.8,0.82,-2.18,-72.9097,96562.0,4899,0.33789724609375,False,REGULAR,USD
69,SPY210305C00382500,2021-03-04 21:14:55,382.5,0.71,0.69,0.7,-1.99,-73.7037,28199.0,3228,0.33423517333984376,False,REGULAR,USD
70,SPY210305C00383000,2021-03-04 21:14:58,383.0,0.6,0.59,0.6,-1.86,-75.60976,80734.0,5786,0.3320379296875,False,REGULAR,USD
71,SPY210305C00384000,2021-03-04 21:14:58,384.0,0.42,0.42,0.43,-1.5600001,-78.78788,83027.0,16757,0.3276434423828125,False,REGULAR,USD
72,SPY210305C00385000,2021-03-04 21:14:57,385.0,0.31,0.3,0.32,-1.26,-80.254776,118062.0,9588,0.3286199951171874,False,REGULAR,USD
73,SPY210305C00386000,2021-03-04 21:14:43,386.0,0.2,0.2,0.22,-1.01,-83.47107,51015.0,11490,0.32471378417968744,False,REGULAR,USD
74,SPY210305C00387000,2021-03-04 21:14:40,387.0,0.14,0.14,0.15,-0.78000003,-84.782616,43235.0,12188,0.32227240234374993,False,REGULAR,USD
75,SPY210305C00387500,2021-03-04 21:13:11,387.5,0.12,0.12,0.13,-0.67,-84.81013,12791.0,3910,0.32520206054687495,False,REGULAR,USD
76,SPY210305C00388000,2021-03-04 21:14:38,388.0,0.1,0.1,0.11,-0.57,-85.07462,33888.0,17843,0.32617861328125,False,REGULAR,USD
77,SPY210305C00389000,2021-03-04 21:13:02,389.0,0.07,0.07,0.08,-0.43,-86.0,25953.0,11259,0.32910827148437494,False,REGULAR,USD
78,SPY210305C00390000,2021-03-04 21:14:57,390.0,0.05,0.05,0.06,-0.31,-86.11111,85747.0,30028,0.33399103515625,False,REGULAR,USD
79,SPY210305C00391000,2021-03-04 21:14:27,391.0,0.03,0.03,0.04,-0.22999999,-88.46153,28546.0,14355,0.33399103515625,False,REGULAR,USD
