Date,AMD,CSCO,INTC,INTU,NVDA
2017/5/11,11.07,29.111942,31.634212,122.375015,31.247663
2017/5/12,11.26,28.956116,31.492393,122.018158,31.591007
2017/5/15,11.42,29.631325,31.581041,123.098381,33.176865
2017/5/16,12.75,29.691917,31.749449,122.973,33.794399
2017/5/17,11.2,29.276413,31.058083,120.899338,31.549021
2017/5/18,11.28,27.164211,31.217628,120.706444,32.870556
2017/5/19,11.41,27.017048,31.377182,120.928261,33.629704
2017/5/22,11.04,27.346004,31.705122,122.645088,34.346802
2017/5/23,10.89,27.493162,31.784904,124.5644,33.884399
2017/5/24,10.89,27.259438,32.015354,132.936234,34.265198
2017/5/25,10.98,27.216154,32.13945,133.447418,34.188545
2017/5/26,11,27.268089,32.13945,133.640305,35.073795
2017/5/30,11.12,27.42391,32.068535,135.077393,35.823044
2017/5/31,11.19,27.294064,32.006489,135.646469,35.694473
2017/6/1,10.93,27.545103,32.015354,136.311935,35.696938
2017/6/2,10.9,27.683607,32.192631,137.73941,35.518894
2017/6/5,11.24,27.493162,32.210358,137.585114,36.59951
2017/6/6,12.03,27.320032,32.024223,136.601303,36.43383
2017/6/7,12.38,27.363316,32.13945,136.929199,36.873974
2017/6/8,12.9,27.363316,32.334442,137.64296,39.549511
2017/6/9,12.28,27.155558,31.651947,135.231705,36.992668
2017/6/12,12.09,27.051683,31.66967,134.778427,37.084156
2017/6/13,11.96,27.441223,31.802629,134.913452,37.437771
2017/6/14,11.77,27.354658,31.492393,135.212448,37.516895
2017/6/15,11.5,27.337345,31.297405,135.02919,37.677628
2017/6/16,11.44,27.380625,31.208759,134.537262,37.492172
2017/6/19,11.93,27.692257,31.47468,135.752502,38.901646
2017/6/20,12.64,27.571072,30.898546,135.19313,38.84478
2017/6/21,13.98,27.562412,30.650356,135.270309,39.433285
2017/6/22,14.38,27.571072,30.455355,135.019531,39.161285
2017/6/23,14.17,27.778828,30.304678,135.414963,38.038647
2017/6/26,14.08,27.908674,30.198307,133.485962,37.623222
2017/6/27,13.4,27.493162,29.826036,130.486389,36.245888
2017/6/28,13.23,27.770166,30.313538,130.563568,37.524319
2017/6/29,12.6,27.190182,29.72854,128.374161,36.270618
2017/6/30,12.48,27.094959,29.905819,128.094498,35.746395
2017/7/3,12.15,27.120934,29.657635,127.004562,34.453133
2017/7/5,13.19,27.182091,30.437628,127.293922,35.373001
2017/7/6,13.02,26.841335,29.808315,126.771774,35.479336
2017/7/7,13.36,26.998608,30.029902,127.545387,36.290398
2017/7/10,13.81,27.068508,29.826036,127.516304,38.0065
2017/7/11,13.89,27.164618,30.065357,127.990189,38.545567
2017/7/12,14.29,27.22578,30.357855,129.073196,40.185013
2017/7/13,13.53,27.321896,30.348995,128.028824,39.720139
