Start,End,Comment
31/01/1979,31/12/1983,Rolling 132
28/02/1979,31/01/1984,Rolling 133
31/03/1979,29/02/1984,Rolling 134
30/04/1979,31/03/1984,Rolling 135
31/05/1979,30/04/1984,Rolling 136
30/06/1979,31/05/1984,Rolling 137
31/07/1979,30/06/1984,Rolling 138
31/08/1979,31/07/1984,Rolling 139
30/09/1979,31/08/1984,Rolling 140
31/10/1979,30/09/1984,Rolling 141
30/11/1979,31/10/1984,Rolling 142
31/12/1979,30/11/1984,Rolling 143
31/01/1980,31/12/1984,Rolling 144
29/02/1980,31/01/1985,Rolling 145
31/03/1980,28/02/1985,Rolling 146
30/04/1980,31/03/1985,Rolling 147
31/05/1980,30/04/1985,Rolling 148
30/06/1980,31/05/1985,Rolling 149
31/07/1980,30/06/1985,Rolling 150
31/08/1980,31/07/1985,Rolling 151
30/09/1980,31/08/1985,Rolling 152
31/10/1980,30/09/1985,Rolling 153
30/11/1980,31/10/1985,Rolling 154
31/12/1980,30/11/1985,Rolling 155
31/01/1981,31/12/1985,Rolling 156
28/02/1981,31/01/1986,Rolling 157
31/03/1981,28/02/1986,Rolling 158
30/04/1981,31/03/1986,Rolling 159
31/05/1981,30/04/1986,Rolling 160
30/06/1981,31/05/1986,Rolling 161
31/07/1981,30/06/1986,Rolling 162
31/08/1981,31/07/1986,Rolling 163
30/09/1981,31/08/1986,Rolling 164
31/10/1981,30/09/1986,Rolling 165
30/11/1981,31/10/1986,Rolling 166
31/12/1981,30/11/1986,Rolling 167
31/01/1982,31/12/1986,Rolling 168
28/02/1982,31/01/1987,Rolling 169
31/03/1982,28/02/1987,Rolling 170
30/04/1982,31/03/1987,Rolling 171
31/05/1982,30/04/1987,Rolling 172
30/06/1982,31/05/1987,Rolling 173
31/07/1982,30/06/1987,Rolling 174
31/08/1982,31/07/1987,Rolling 175
30/09/1982,31/08/1987,Rolling 176
31/10/1982,30/09/1987,Rolling 177
30/11/1982,31/10/1987,Rolling 178
31/12/1982,30/11/1987,Rolling 179
31/01/1983,31/12/1987,Rolling 180
28/02/1983,31/01/1988,Rolling 181
31/03/1983,29/02/1988,Rolling 182
30/04/1983,31/03/1988,Rolling 183
31/05/1983,30/04/1988,Rolling 184
30/06/1983,31/05/1988,Rolling 185
31/07/1983,30/06/1988,Rolling 186
31/08/1983,31/07/1988,Rolling 187
30/09/1983,31/08/1988,Rolling 188
31/10/1983,30/09/1988,Rolling 189
30/11/1983,31/10/1988,Rolling 190
31/12/1983,30/11/1988,Rolling 191
