,Start,End,Comment,AR_IC,LR_IC,DT_IC,RF_IC,XB_IC,AR_HR,LR_HR,DT_HR,RF_HR,XB_HR,AR_RMSFE,LR_RMSFE,DT_RMSFE,RF_RMSFE,XB_RMSFE
191,31/03/2001,30/11/2001,Recession,-0.31,-0.48,-0.59,-0.34,-0.16,0.22,0.44,0.33,0.44,0.56,0.062195036,0.075378087,0.087476775,0.067512735,0.062566633
119,NA,NA,Relative to AR:,0,-0.17,-0.28,-0.03,0.15,0,0.22,0.11,0.22,0.34,1,1.211963,1.406491,1.0855,1.005975
20,31/12/2001,30/11/2007,Expansion,-0.19,0.01,-0.08,-0.03,-0.13,0.46,0.49,0.44,0.49,0.61,0.03579405,0.039934187,0.048096362,0.037795775,0.038253212
120,NA,NA,Relative to AR:,0,0.2,0.11,0.16,0.06,0,0.03,-0.02,0.03,0.15,1,1.115666,1.343697,1.055923,1.068703
211,31/12/2007,30/06/2009,Recession,0.26,-0.04,-0.29,-0.21,-0.31,0.47,0.58,0.53,0.58,0.32,0.071434349,0.082275519,0.082482751,0.083051647,0.081510849
122,NA,NA,Relative to AR:,0,-0.3,-0.55,-0.47,-0.57,0,0.11,0.06,0.11,-0.15,1,1.151764,1.154665,1.162629,1.14106
22,31/07/2009,31/12/2019,Expansion,-0.02,0.01,0.03,-0.03,0.09,0.58,0.52,0.55,0.53,0.67,0.037572813,0.040548807,0.040951325,0.03830609,0.036561092
123,NA,NA,Relative to AR:,0,0.03,0.05,-0.01,0.11,0,-0.06,-0.03,-0.05,0.09,1,1.079206,1.089919,1.019516,0.973073
23,29/02/1968,31/01/1973,Rolling_Start,-0.12,-0.16,0.11,0.06,0.09,0.42,0.35,0.5,0.57,0.5,0.039382581,0.043798456,0.042193912,0.039783774,0.039948442
124,NA,NA,Relative to AR:,0,-0.04,0.23,0.18,0.21,0,-0.07,0.08,0.15,0.08,1,1.112128,1.071385,1.010187,1.014368
24,31/03/1968,28/02/1973,Rolling 2,-0.08,-0.12,0.12,0.05,0.09,0.43,0.37,0.52,0.57,0.5,0.03935161,0.043139496,0.041962414,0.039933004,0.040089574
125,NA,NA,Relative to AR:,0,-0.04,0.2,0.13,0.17,0,-0.06,0.09,0.14,0.07,1,1.096257,1.066346,1.014774,1.018753
25,30/04/1968,31/03/1973,Rolling 3,-0.08,-0.11,0.13,0.06,0.09,0.43,0.38,0.53,0.58,0.48,0.039350604,0.043015525,0.041912537,0.03986198,0.040085786
126,NA,NA,Relative to AR:,0,-0.03,0.21,0.14,0.17,0,-0.05,0.1,0.15,0.05,1,1.093135,1.065105,1.012995,1.018683
26,31/05/1968,30/04/1973,Rolling 4,-0.07,-0.05,0.14,0.06,0.14,0.45,0.4,0.53,0.6,0.48,0.038601636,0.041534236,0.04112545,0.038938629,0.039547602
127,NA,NA,Relative to AR:,0,0.02,0.21,0.13,0.21,0,-0.05,0.08,0.15,0.03,1,1.075971,1.065381,1.00873,1.024506
27,30/06/1968,31/05/1973,Rolling 5,-0.04,-0.05,0.15,0.07,0.14,0.47,0.4,0.53,0.62,0.47,0.038628025,0.041571626,0.0411458,0.038922421,0.039773357
128,NA,NA,Relative to AR:,0,-0.01,0.19,0.11,0.18,0,-0.07,0.06,0.15,0,1,1.076204,1.06518,1.007621,1.02965
28,31/07/1968,30/06/1973,Rolling 6,-0.04,-0.05,0.15,0.07,0.14,0.47,0.42,0.53,0.62,0.47,0.038633988,0.041528654,0.041237595,0.03888092,0.039745935
129,NA,NA,Relative to AR:,0,-0.01,0.19,0.11,0.18,0,-0.05,0.06,0.15,0,1,1.074925,1.067392,1.006392,1.028782
29,31/08/1968,31/07/1973,Rolling 7,-0.04,-0.07,0.17,0.05,0.14,0.47,0.4,0.55,0.6,0.48,0.038762513,0.042013068,0.041113723,0.039363627,0.039663345
130,NA,NA,Relative to AR:,0,-0.03,0.21,0.09,0.18,0,-0.07,0.08,0.13,0.01,1,1.083858,1.060657,1.015508,1.02324
30,30/09/1968,31/08/1973,Rolling 8,-0.06,-0.05,0.16,0.06,0.15,0.45,0.42,0.53,0.6,0.48,0.03920487,0.042132165,0.041562792,0.03957667,0.040072101
132,NA,NA,Relative to AR:,0,0.01,0.22,0.12,0.21,0,-0.03,0.08,0.15,0.03,1,1.074667,1.060144,1.009484,1.02212
31,31/10/1968,30/09/1973,Rolling 9,-0.13,-0.08,0.15,0.03,0.16,0.43,0.42,0.53,0.6,0.48,0.039390804,0.042647152,0.041853617,0.039897382,0.040033912
133,NA,NA,Relative to AR:,0,0.05,0.28,0.16,0.29,0,-0.01,0.1,0.17,0.05,1,1.082668,1.062523,1.01286,1.016326
32,30/11/1968,31/10/1973,Rolling 10,-0.13,-0.08,0.15,0.02,0.16,0.42,0.42,0.55,0.58,0.47,0.03940342,0.042824121,0.041798873,0.039957776,0.040048483
134,NA,NA,Relative to AR:,0,0.05,0.28,0.15,0.29,0,0,0.13,0.16,0.05,1,1.086812,1.060793,1.014069,1.016371
33,31/12/1968,30/11/1973,Rolling 11,-0.09,-0.09,0.13,0,0.14,0.42,0.42,0.55,0.58,0.45,0.042048949,0.045634952,0.044287027,0.042649105,0.043445642
135,NA,NA,Relative to AR:,0,0,0.22,0.09,0.23,0,0,0.13,0.16,0.03,1,1.085282,1.053226,1.014273,1.033216
34,31/01/1969,31/12/1973,Rolling 12,-0.08,-0.11,0.12,0.01,0.13,0.42,0.4,0.53,0.58,0.47,0.04174912,0.045476446,0.04428576,0.042262003,0.042890123
136,NA,NA,Relative to AR:,0,-0.03,0.2,0.09,0.21,0,-0.02,0.11,0.16,0.05,1,1.089279,1.060759,1.012285,1.02733
35,28/02/1969,31/01/1974,Rolling 13,-0.08,-0.1,0.11,0.01,0.13,0.43,0.42,0.53,0.58,0.47,0.041733331,0.045358503,0.044537585,0.042293865,0.042970546
137,NA,NA,Relative to AR:,0,-0.02,0.19,0.09,0.21,0,-0.01,0.1,0.15,0.04,1,1.086865,1.067195,1.013431,1.029646
36,31/03/1969,28/02/1974,Rolling 14,-0.06,-0.09,0.1,0.01,0.12,0.45,0.43,0.52,0.57,0.47,0.041133156,0.044782717,0.044379949,0.041926079,0.042436875
138,NA,NA,Relative to AR:,0,-0.03,0.16,0.07,0.18,0,-0.02,0.07,0.12,0.02,1,1.088726,1.078934,1.019277,1.031695
37,30/04/1969,31/03/1974,Rolling 15,-0.07,-0.08,0.12,0.03,0.13,0.45,0.45,0.52,0.58,0.47,0.041097077,0.044510399,0.044310387,0.041674881,0.042462068
139,NA,NA,Relative to AR:,0,-0.01,0.19,0.1,0.2,0,0,0.07,0.13,0.02,1,1.083055,1.078188,1.014059,1.033214
38,31/05/1969,30/04/1974,Rolling 16,-0.05,-0.02,0.14,0.09,0.16,0.47,0.47,0.53,0.6,0.47,0.041323081,0.044080374,0.044128131,0.041309766,0.04286799
140,NA,NA,Relative to AR:,0,0.03,0.19,0.14,0.21,0,0,0.06,0.13,0,1,1.066725,1.067881,0.999678,1.037386
39,30/06/1969,31/05/1974,Rolling 17,-0.02,-0.01,0.17,0.11,0.17,0.47,0.48,0.55,0.6,0.48,0.041502138,0.044150844,0.043959482,0.041378236,0.043153564
142,NA,NA,Relative to AR:,0,0.01,0.19,0.13,0.19,0,0.01,0.08,0.13,0.01,1,1.063821,1.05921,0.997015,1.039791
40,31/07/1969,30/06/1974,Rolling 18,0.01,0.03,0.18,0.15,0.16,0.48,0.5,0.57,0.62,0.5,0.040738293,0.043188904,0.043137665,0.040432276,0.042271532
143,NA,NA,Relative to AR:,0,0.02,0.17,0.14,0.15,0,0.02,0.09,0.14,0.02,1,1.060155,1.058897,0.992488,1.037636
41,31/08/1969,31/07/1974,Rolling 19,0.06,0.1,0.21,0.2,0.21,0.5,0.52,0.57,0.62,0.52,0.041120483,0.042676977,0.043105964,0.040399056,0.042405661
144,NA,NA,Relative to AR:,0,0.04,0.15,0.14,0.15,0,0.02,0.07,0.12,0.02,1,1.037852,1.048284,0.982456,1.031254
42,30/09/1969,31/08/1974,Rolling 20,0.16,0.16,0.22,0.25,0.26,0.5,0.53,0.57,0.62,0.52,0.042341529,0.043125983,0.044008771,0.041149299,0.043837788
145,NA,NA,Relative to AR:,0,0,0.06,0.09,0.1,0,0.03,0.07,0.12,0.02,1,1.018527,1.039376,0.971843,1.035338
43,31/10/1969,30/09/1974,Rolling 21,0.29,0.31,0.27,0.37,0.34,0.5,0.53,0.58,0.63,0.53,0.044681264,0.043469874,0.04531872,0.042195496,0.046133127
146,NA,NA,Relative to AR:,0,0.02,-0.02,0.08,0.05,0,0.03,0.08,0.13,0.03,1,0.972888,1.014267,0.944367,1.032494
44,30/11/1969,31/10/1974,Rolling 22,-0.04,0.29,0.19,0.19,0.34,0.5,0.53,0.58,0.63,0.53,0.049933507,0.047363261,0.05073158,0.04852044,0.049167329
147,NA,NA,Relative to AR:,0,0.33,0.23,0.23,0.38,0,0.03,0.08,0.13,0.03,1,0.948527,1.015983,0.971701,0.984656
45,31/12/1969,30/11/1974,Rolling 23,-0.1,0.32,0.23,0.22,0.35,0.48,0.55,0.6,0.63,0.53,0.051021757,0.047073375,0.050279097,0.04841373,0.049338655
148,NA,NA,Relative to AR:,0,0.42,0.33,0.32,0.45,0,0.07,0.12,0.15,0.05,1,0.922614,0.985444,0.948884,0.967012
