,Start,End,Comment,AR_IC,LR_IC,DT_IC,RF_IC,XB_IC,AR_HR,LR_HR,DT_HR,RF_HR,XB_HR,AR_RMSFE,LR_RMSFE,DT_RMSFE,RF_RMSFE,XB_RMSFE
81,31/12/1972,30/11/1977,Rolling 59,-0.11,0.29,0.11,0.17,0.11,0.65,0.63,0.57,0.65,0.48,0.051178395,0.049495435,0.056342006,0.049885072,0.051463037
188,NA,NA,Relative to AR:,0,0.4,0.22,0.28,0.22,0,-0.02,-0.08,0,-0.17,1,0.967116,1.100894,0.974729,1.005562
82,31/01/1973,31/12/1977,Rolling 60,-0.12,0.29,0.11,0.17,0.1,0.65,0.63,0.58,0.67,0.48,0.051186028,0.049656671,0.056331454,0.049849658,0.051459667
189,NA,NA,Relative to AR:,0,0.41,0.23,0.29,0.22,0,-0.02,-0.07,0.02,-0.17,1,0.970122,1.100524,0.973892,1.005346
83,28/02/1973,31/01/1978,Rolling 61,-0.11,0.28,0.13,0.18,0.12,0.67,0.63,0.58,0.67,0.5,0.051683515,0.050103336,0.056316348,0.050249232,0.051868572
190,NA,NA,Relative to AR:,0,0.39,0.24,0.29,0.23,0,-0.04,-0.09,0,-0.17,1,0.969426,1.089639,0.972249,1.003581
84,31/03/1973,28/02/1978,Rolling 62,-0.1,0.29,0.12,0.19,0.13,0.67,0.63,0.57,0.67,0.52,0.051517805,0.04994411,0.05675327,0.05007365,0.051518056
192,NA,NA,Relative to AR:,0,0.39,0.22,0.29,0.23,0,-0.04,-0.1,0,-0.15,1,0.969453,1.101624,0.971968,1.000005
85,30/04/1973,31/03/1978,Rolling 63,-0.1,0.29,0.12,0.18,0.13,0.65,0.62,0.55,0.65,0.53,0.051637721,0.049979776,0.057041646,0.050254774,0.051547094
193,NA,NA,Relative to AR:,0,0.39,0.22,0.28,0.23,0,-0.03,-0.1,0,-0.12,1,0.967893,1.104651,0.973218,0.998245
86,31/05/1973,30/04/1978,Rolling 64,-0.11,0.26,0.07,0.18,0.08,0.63,0.6,0.53,0.63,0.52,0.052512956,0.051862796,0.059486095,0.051311079,0.052579751
194,NA,NA,Relative to AR:,0,0.37,0.18,0.29,0.19,0,-0.03,-0.1,0,-0.11,1,0.987619,1.132789,0.977113,1.001272
87,30/06/1973,31/05/1978,Rolling 65,-0.11,0.25,0.06,0.17,0.08,0.63,0.6,0.53,0.63,0.53,0.052489543,0.053166588,0.059847818,0.051426868,0.052433752
195,NA,NA,Relative to AR:,0,0.36,0.17,0.28,0.19,0,-0.03,-0.1,0,-0.1,1,1.012899,1.140186,0.979755,0.998937
88,31/07/1973,30/06/1978,Rolling 66,-0.11,0.25,0.05,0.18,0.08,0.63,0.6,0.52,0.63,0.52,0.052531208,0.053161514,0.060099356,0.051429116,0.052540368
196,NA,NA,Relative to AR:,0,0.36,0.16,0.29,0.19,0,-0.03,-0.11,0,-0.11,1,1.011999,1.14407,0.97902,1.000174
89,31/08/1973,31/07/1978,Rolling 67,-0.12,0.23,0.02,0.16,0.06,0.63,0.6,0.5,0.63,0.5,0.052781594,0.054178614,0.061286561,0.051895286,0.052917574
197,NA,NA,Relative to AR:,0,0.35,0.14,0.28,0.18,0,-0.03,-0.13,0,-0.13,1,1.026468,1.161135,0.983208,1.002576
90,30/09/1973,31/08/1978,Rolling 68,-0.11,0.23,0.03,0.16,0.06,0.63,0.58,0.52,0.62,0.5,0.052554955,0.054312278,0.060975192,0.051894075,0.052651412
198,NA,NA,Relative to AR:,0,0.34,0.14,0.27,0.17,0,-0.05,-0.11,-0.01,-0.13,1,1.033438,1.160218,0.987425,1.001835
91,31/10/1973,30/09/1978,Rolling 69,-0.1,0.23,0.04,0.17,0.06,0.65,0.6,0.52,0.62,0.48,0.052264064,0.053741595,0.060657826,0.051500135,0.052674142
199,NA,NA,Relative to AR:,0,0.33,0.14,0.27,0.16,0,-0.05,-0.13,-0.03,-0.17,1,1.02827,1.160603,0.985383,1.007846
92,30/11/1973,31/10/1978,Rolling 70,-0.1,0.25,0.07,0.19,0.07,0.67,0.62,0.52,0.63,0.5,0.053729725,0.054266504,0.061112103,0.052373908,0.054178859
1100,NA,NA,Relative to AR:,0,0.35,0.17,0.29,0.17,0,-0.05,-0.15,-0.04,-0.17,1,1.00999,1.137398,0.974766,1.008359
93,31/12/1973,30/11/1978,Rolling 71,-0.1,0.3,0.07,0.21,0.09,0.65,0.62,0.5,0.62,0.52,0.05144725,0.051922982,0.059331889,0.050153692,0.051357317
1101,NA,NA,Relative to AR:,0,0.4,0.17,0.31,0.19,0,-0.03,-0.15,-0.03,-0.13,1,1.009247,1.153257,0.974857,0.998252
94,31/01/1974,31/12/1978,Rolling 72,-0.09,0.29,0.07,0.2,0.09,0.65,0.62,0.52,0.6,0.52,0.05132838,0.052110236,0.059366801,0.050226638,0.051356444
1102,NA,NA,Relative to AR:,0,0.38,0.16,0.29,0.18,0,-0.03,-0.13,-0.05,-0.13,1,1.015232,1.156608,0.978535,1.000547
95,28/02/1974,31/01/1979,Rolling 73,-0.09,0.29,0.08,0.21,0.1,0.63,0.6,0.52,0.58,0.53,0.051514318,0.052464669,0.059383083,0.050388891,0.051332616
1103,NA,NA,Relative to AR:,0,0.38,0.17,0.3,0.19,0,-0.03,-0.11,-0.05,-0.1,1,1.018448,1.152749,0.978153,0.996473
96,31/03/1974,28/02/1979,Rolling 74,-0.09,0.3,0.07,0.18,0.08,0.63,0.6,0.52,0.58,0.53,0.051772636,0.052487041,0.059593701,0.05116033,0.051884787
1104,NA,NA,Relative to AR:,0,0.39,0.16,0.27,0.17,0,-0.03,-0.11,-0.05,-0.1,1,1.013799,1.151066,0.988173,1.002166
97,30/04/1974,31/03/1979,Rolling 75,-0.08,0.29,0.05,0.14,0.02,0.62,0.58,0.5,0.57,0.52,0.052091795,0.053329171,0.060648786,0.052464055,0.052938955
1105,NA,NA,Relative to AR:,0,0.37,0.13,0.22,0.1,0,-0.04,-0.12,-0.05,-0.1,1,1.023754,1.164268,1.007146,1.016263
98,31/05/1974,30/04/1979,Rolling 76,-0.09,0.29,0.04,0.13,0.03,0.62,0.58,0.5,0.57,0.53,0.051867234,0.053468863,0.061256655,0.052557146,0.052526959
1106,NA,NA,Relative to AR:,0,0.38,0.13,0.22,0.12,0,-0.04,-0.12,-0.05,-0.09,1,1.030879,1.181028,1.013302,1.012719
99,30/06/1974,31/05/1979,Rolling 77,-0.1,0.28,0.04,0.12,0.02,0.62,0.58,0.5,0.57,0.52,0.051886966,0.053468703,0.061364773,0.052543841,0.052504786
1107,NA,NA,Relative to AR:,0,0.38,0.14,0.22,0.12,0,-0.04,-0.12,-0.05,-0.1,1,1.030484,1.182663,1.01266,1.011907
100,31/07/1974,30/06/1979,Rolling 78,-0.1,0.29,0.04,0.12,0.02,0.6,0.58,0.5,0.55,0.52,0.052018915,0.053425245,0.061381764,0.052633542,0.052527562
1108,NA,NA,Relative to AR:,0,0.39,0.14,0.22,0.12,0,-0.02,-0.1,-0.05,-0.08,1,1.027035,1.179989,1.011815,1.009778
101,31/08/1974,31/07/1979,Rolling 79,-0.1,0.29,0.01,0.1,-0.01,0.58,0.58,0.5,0.53,0.52,0.050929919,0.052860442,0.061268264,0.052089203,0.051590181
1109,NA,NA,Relative to AR:,0,0.39,0.11,0.2,0.09,0,0,-0.08,-0.05,-0.06,1,1.037905,1.202992,1.022762,1.012964
102,30/09/1974,31/08/1979,Rolling 80,-0.14,0.27,0,0.05,-0.05,0.58,0.57,0.5,0.52,0.52,0.050045753,0.052965215,0.060837693,0.051995066,0.050537072
1110,NA,NA,Relative to AR:,0,0.41,0.14,0.19,0.09,0,-0.01,-0.08,-0.06,-0.06,1,1.058336,1.215641,1.038951,1.009817
103,31/10/1974,30/09/1979,Rolling 81,-0.27,0.19,-0.04,-0.07,-0.12,0.58,0.57,0.5,0.52,0.5,0.047834659,0.05266626,0.059727302,0.050948321,0.04817575
1111,NA,NA,Relative to AR:,0,0.46,0.23,0.2,0.15,0,-0.01,-0.08,-0.06,-0.08,1,1.101006,1.24862,1.065092,1.007131
104,30/11/1974,31/10/1979,Rolling 82,-0.1,0.15,0.05,0.06,-0.17,0.6,0.57,0.52,0.53,0.48,0.043248982,0.050087682,0.054570712,0.045283219,0.046318679
1112,NA,NA,Relative to AR:,0,0.25,0.15,0.16,-0.07,0,-0.03,-0.08,-0.07,-0.12,1,1.158124,1.26178,1.047035,1.070977
105,31/12/1974,30/11/1979,Rolling 83,0.08,0.15,0.01,-0.01,-0.16,0.62,0.57,0.52,0.52,0.5,0.04180338,0.051167434,0.054573427,0.045689062,0.04567535
1113,NA,NA,Relative to AR:,0,0.07,-0.07,-0.09,-0.24,0,-0.05,-0.1,-0.1,-0.12,1,1.224002,1.305479,1.092951,1.092623
106,31/01/1975,31/12/1979,Rolling 84,0.03,0.15,0.03,-0.01,-0.14,0.62,0.57,0.53,0.5,0.52,0.041812148,0.051598608,0.053956934,0.04565262,0.045023493
1114,NA,NA,Relative to AR:,0,0.12,0,-0.04,-0.17,0,-0.05,-0.09,-0.12,-0.1,1,1.234058,1.290461,1.091851,1.076804
107,28/02/1975,31/01/1980,Rolling 85,0.11,0.18,0.11,0.05,-0.03,0.62,0.57,0.55,0.5,0.53,0.039398474,0.049173432,0.049887091,0.042495243,0.041663847
1115,NA,NA,Relative to AR:,0,0.07,0,-0.06,-0.14,0,-0.05,-0.07,-0.12,-0.09,1,1.248105,1.266219,1.078601,1.057499
108,31/03/1975,29/02/1980,Rolling 86,0.09,0.13,0.09,0.01,-0.08,0.63,0.57,0.55,0.5,0.53,0.038773858,0.049132182,0.049688709,0.04232483,0.041598393
1116,NA,NA,Relative to AR:,0,0.04,0,-0.08,-0.17,0,-0.06,-0.08,-0.13,-0.1,1,1.267147,1.2815,1.091582,1.072846
109,30/04/1975,31/03/1980,Rolling 87,0,0.06,0.09,0.01,-0.13,0.63,0.57,0.55,0.52,0.53,0.04169799,0.052189803,0.050729716,0.044382593,0.045075702
1117,NA,NA,Relative to AR:,0,0.06,0.09,0.01,-0.13,0,-0.06,-0.08,-0.11,-0.1,1,1.251614,1.216599,1.064382,1.081004
11010,31/05/1975,30/04/1980,Rolling 88,0.03,0.07,0.09,0,-0.12,0.65,0.58,0.57,0.52,0.53,0.041389537,0.051747056,0.050418183,0.044325106,0.044863013
1118,NA,NA,Relative to AR:,0,0.04,0.06,-0.03,-0.15,0,-0.07,-0.08,-0.13,-0.12,1,1.250245,1.218138,1.070925,1.083922
1119,30/06/1975,31/05/1980,Rolling 89,-0.01,0.12,0.11,-0.02,-0.13,0.63,0.6,0.58,0.5,0.53,0.041538991,0.051643025,0.049838234,0.044569028,0.044941844
1120,NA,NA,Relative to AR:,0,0.13,0.12,-0.01,-0.12,0,-0.03,-0.05,-0.13,-0.1,1,1.243242,1.199794,1.072944,1.081919
1121,31/07/1975,30/06/1980,Rolling 90,-0.05,0.11,0.1,-0.06,-0.13,0.62,0.6,0.57,0.48,0.53,0.041445624,0.051647495,0.049873064,0.045052232,0.044801567
1122,NA,NA,Relative to AR:,0,0.16,0.15,-0.01,-0.08,0,-0.02,-0.05,-0.14,-0.09,1,1.246151,1.203337,1.08702,1.080972
1131,31/08/1975,31/07/1980,Rolling 91,-0.01,0.08,0.12,-0.01,-0.11,0.6,0.58,0.57,0.48,0.53,0.041030151,0.052410056,0.048982802,0.044410441,0.043726154
1123,NA,NA,Relative to AR:,0,0.09,0.13,0,-0.1,0,-0.02,-0.03,-0.12,-0.07,1,1.277355,1.193825,1.082386,1.065708
1141,30/09/1975,31/08/1980,Rolling 92,-0.02,0.08,0.12,-0.02,-0.11,0.6,0.58,0.57,0.48,0.53,0.040978456,0.053877964,0.048981076,0.044541325,0.043532065
1124,NA,NA,Relative to AR:,0,0.1,0.14,0,-0.09,0,-0.02,-0.03,-0.12,-0.07,1,1.314788,1.195288,1.086945,1.062316
1151,31/10/1975,30/09/1980,Rolling 93,-0.02,0.06,0.12,-0.02,-0.11,0.6,0.57,0.57,0.47,0.53,0.040784852,0.054586937,0.049139812,0.044583315,0.043206693
1125,NA,NA,Relative to AR:,0,0.08,0.14,0,-0.09,0,-0.03,-0.03,-0.13,-0.07,1,1.338412,1.204854,1.093134,1.059381
1161,30/11/1975,31/10/1980,Rolling 94,-0.01,0.07,0.11,0.01,-0.09,0.6,0.57,0.57,0.48,0.55,0.040053243,0.05388202,0.048807306,0.043494833,0.042557355
1126,NA,NA,Relative to AR:,0,0.08,0.12,0.02,-0.08,0,-0.03,-0.03,-0.12,-0.05,1,1.34526,1.218561,1.085925,1.06252
1171,31/12/1975,30/11/1980,Rolling 95,0.01,0.06,0.14,0.06,-0.06,0.6,0.55,0.57,0.48,0.55,0.041563932,0.05519319,0.049395982,0.044330081,0.043523991
1127,NA,NA,Relative to AR:,0,0.05,0.13,0.05,-0.07,0,-0.05,-0.03,-0.12,-0.05,1,1.327911,1.188434,1.066552,1.047158
1181,31/01/1976,31/12/1980,Rolling 96,0.04,0.06,0.12,0.03,-0.08,0.6,0.55,0.55,0.47,0.53,0.041799185,0.055159869,0.050242985,0.044904834,0.044125599
1128,NA,NA,Relative to AR:,0,0.02,0.08,-0.01,-0.12,0,-0.05,-0.05,-0.13,-0.07,1,1.31964,1.202009,1.074299,1.055657
1191,29/02/1976,31/01/1981,Rolling 97,0.03,0.04,0.08,-0.05,-0.13,0.6,0.55,0.53,0.47,0.52,0.039864792,0.053893525,0.049827282,0.044226974,0.043540534
1129,NA,NA,Relative to AR:,0,0.01,0.05,-0.08,-0.16,0,-0.05,-0.07,-0.13,-0.08,1,1.351908,1.249907,1.109424,1.092205
1201,31/03/1976,28/02/1981,Rolling 98,0.03,0.04,0.08,-0.05,-0.13,0.6,0.55,0.53,0.45,0.52,0.039819382,0.053719923,0.049829183,0.044233455,0.043441519
1130,NA,NA,Relative to AR:,0,0.01,0.05,-0.08,-0.16,0,-0.05,-0.07,-0.15,-0.08,1,1.34909,1.25138,1.110852,1.090964
1211,30/04/1976,31/03/1981,Rolling 99,0.04,0.05,0.09,-0.04,-0.13,0.6,0.55,0.55,0.45,0.53,0.039767659,0.052866928,0.049350616,0.044033648,0.043367125
1132,NA,NA,Relative to AR:,0,0.01,0.05,-0.08,-0.17,0,-0.05,-0.05,-0.15,-0.07,1,1.329395,1.240974,1.107273,1.090512
1221,31/05/1976,30/04/1981,Rolling 100,0.04,0.04,0.09,-0.03,-0.13,0.6,0.53,0.55,0.47,0.53,0.039931309,0.053136597,0.049438029,0.043972932,0.043650765
1133,NA,NA,Relative to AR:,0,0,0.05,-0.07,-0.17,0,-0.07,-0.05,-0.13,-0.07,1,1.3307,1.238077,1.101214,1.093146
1231,30/06/1976,31/05/1981,Rolling 101,0.03,0.04,0.1,-0.01,-0.12,0.58,0.53,0.57,0.48,0.55,0.039931163,0.05309418,0.049355393,0.04375322,0.043485403
1134,NA,NA,Relative to AR:,0,0.01,0.07,-0.04,-0.15,0,-0.05,-0.01,-0.1,-0.03,1,1.329643,1.236012,1.095716,1.089009
1241,31/07/1976,30/06/1981,Rolling 102,0.03,0.04,0.11,-0.01,-0.12,0.6,0.55,0.58,0.5,0.53,0.039682764,0.052807546,0.048893503,0.043318609,0.043488717
1135,NA,NA,Relative to AR:,0,0.01,0.08,-0.04,-0.15,0,-0.05,-0.02,-0.1,-0.07,1,1.330743,1.232109,1.091623,1.095909
1251,31/08/1976,31/07/1981,Rolling 103,0.03,0.04,0.11,0,-0.12,0.6,0.55,0.6,0.52,0.53,0.039696756,0.053118388,0.048858076,0.043281861,0.04345495
1136,NA,NA,Relative to AR:,0,0.01,0.08,-0.03,-0.15,0,-0.05,0,-0.08,-0.07,1,1.338104,1.230783,1.090312,1.094673
1261,30/09/1976,31/08/1981,Rolling 104,0.01,0.04,0.13,0,-0.13,0.6,0.57,0.6,0.52,0.52,0.040850401,0.053698521,0.048760095,0.044036171,0.044840285
1137,NA,NA,Relative to AR:,0,0.03,0.12,-0.01,-0.14,0,-0.03,0,-0.08,-0.08,1,1.314516,1.193626,1.077986,1.097671
1271,31/10/1976,30/09/1981,Rolling 105,-0.02,0.04,0.13,0.02,-0.13,0.6,0.58,0.6,0.52,0.5,0.041748284,0.054160384,0.048956702,0.044383825,0.045778396
1138,NA,NA,Relative to AR:,0,0.06,0.15,0.04,-0.11,0,-0.02,0,-0.08,-0.1,1,1.297308,1.172664,1.063129,1.096534
1281,30/11/1976,31/10/1981,Rolling 106,0,0.04,0.15,0.03,-0.1,0.58,0.57,0.6,0.52,0.52,0.041865249,0.054426632,0.04838379,0.044512156,0.045373461
1139,NA,NA,Relative to AR:,0,0.04,0.15,0.03,-0.1,0,-0.01,0.02,-0.06,-0.06,1,1.300043,1.155703,1.063224,1.083798
1291,31/12/1976,30/11/1981,Rolling 107,-0.01,0.04,0.17,0.03,-0.1,0.57,0.57,0.62,0.52,0.53,0.042058818,0.054294632,0.047821021,0.044625636,0.045118114
1140,NA,NA,Relative to AR:,0,0.05,0.18,0.04,-0.09,0,0,0.05,-0.05,-0.04,1,1.290922,1.137003,1.061029,1.072739
1301,31/01/1977,31/12/1981,Rolling 108,0.01,-0.01,0.15,-0.04,-0.15,0.58,0.55,0.62,0.5,0.52,0.041693906,0.055629061,0.047846184,0.044988839,0.045395732
1142,NA,NA,Relative to AR:,0,-0.02,0.14,-0.05,-0.16,0,-0.03,0.04,-0.08,-0.06,1,1.334225,1.147558,1.079027,1.088786
1311,28/02/1977,31/01/1982,Rolling 109,0,-0.01,0.14,-0.04,-0.15,0.58,0.57,0.62,0.5,0.52,0.041318155,0.055108695,0.047666059,0.044633409,0.044977006
1143,NA,NA,Relative to AR:,0,-0.01,0.14,-0.04,-0.15,0,-0.01,0.04,-0.08,-0.06,1,1.333765,1.153635,1.080237,1.088553
1321,31/03/1977,28/02/1982,Rolling 110,0,0,0.19,-0.04,-0.15,0.58,0.57,0.63,0.52,0.52,0.042195817,0.055490329,0.046932524,0.045345193,0.045788491
1144,NA,NA,Relative to AR:,0,0,0.19,-0.04,-0.15,0,-0.01,0.05,-0.06,-0.06,1,1.315067,1.112255,1.074637,1.085143
1331,30/04/1977,31/03/1982,Rolling 111,0,0,0.19,-0.05,-0.16,0.58,0.57,0.63,0.5,0.5,0.042231436,0.055772544,0.04665232,0.045477459,0.045909704
1145,NA,NA,Relative to AR:,0,0,0.19,-0.05,-0.16,0,-0.01,0.05,-0.08,-0.08,1,1.32064,1.104682,1.076863,1.087098
1341,31/05/1977,30/04/1982,Rolling 112,-0.01,0,0.18,-0.05,-0.15,0.57,0.57,0.63,0.5,0.52,0.04245475,0.055819802,0.047045669,0.045741443,0.045963962
1146,NA,NA,Relative to AR:,0,0.01,0.19,-0.04,-0.14,0,0,0.06,-0.07,-0.05,1,1.314807,1.108137,1.077416,1.082658
1351,30/06/1977,31/05/1982,Rolling 113,-0.01,0,0.18,-0.05,-0.15,0.57,0.57,0.63,0.5,0.52,0.04277632,0.0560025,0.047170652,0.046031316,0.046334376
1147,NA,NA,Relative to AR:,0,0.01,0.19,-0.04,-0.14,0,0,0.06,-0.07,-0.05,1,1.309194,1.102728,1.076093,1.083178
1361,31/07/1977,30/06/1982,Rolling 114,0.01,0.02,0.18,-0.06,-0.16,0.58,0.58,0.65,0.52,0.5,0.042461603,0.054710691,0.046852258,0.045666003,0.046405986
1148,NA,NA,Relative to AR:,0,0.01,0.17,-0.07,-0.17,0,0,0.07,-0.06,-0.08,1,1.288474,1.103403,1.075466,1.092893
1371,31/08/1977,31/07/1982,Rolling 115,0.01,0.02,0.19,-0.05,-0.15,0.58,0.58,0.65,0.52,0.5,0.042577166,0.054632019,0.046674566,0.045642633,0.046474953
1149,NA,NA,Relative to AR:,0,0.01,0.18,-0.06,-0.16,0,0,0.07,-0.06,-0.08,1,1.28313,1.096235,1.071998,1.091546
1381,30/09/1977,31/08/1982,Rolling 116,-0.02,0.01,0.18,-0.05,-0.15,0.57,0.57,0.63,0.5,0.52,0.044679858,0.056901991,0.048739719,0.047752593,0.047948693
1150,NA,NA,Relative to AR:,0,0.03,0.2,-0.03,-0.13,0,0,0.06,-0.07,-0.05,1,1.273549,1.090866,1.068772,1.073161
1391,31/10/1977,30/09/1982,Rolling 117,-0.02,0.01,0.18,-0.05,-0.15,0.57,0.55,0.63,0.48,0.52,0.044682408,0.056854177,0.048748299,0.047749413,0.04793783
1152,NA,NA,Relative to AR:,0,0.03,0.2,-0.03,-0.13,0,-0.02,0.06,-0.09,-0.05,1,1.272406,1.090995,1.06864,1.072857
1401,30/11/1977,31/10/1982,Rolling 118,-0.03,0.01,0.16,-0.03,-0.15,0.55,0.55,0.62,0.47,0.52,0.046215757,0.057950764,0.050810213,0.049204034,0.048978772
1153,NA,NA,Relative to AR:,0,0.04,0.19,0,-0.12,0,0,0.07,-0.08,-0.03,1,1.253918,1.099413,1.064659,1.059785
1411,31/12/1977,30/11/1982,Rolling 119,-0.03,0.02,0.16,-0.01,-0.13,0.55,0.57,0.62,0.48,0.53,0.04625027,0.057867734,0.05083806,0.048986243,0.048939331
1154,NA,NA,Relative to AR:,0,0.05,0.19,0.02,-0.1,0,0.02,0.07,-0.07,-0.02,1,1.251187,1.099195,1.059156,1.058142
1421,31/01/1978,31/12/1982,Rolling 120,-0.03,0.02,0.16,-0.01,-0.13,0.53,0.57,0.6,0.48,0.53,0.046259014,0.057732508,0.051073963,0.048960221,0.048940733
1155,NA,NA,Relative to AR:,0,0.05,0.19,0.02,-0.1,0,0.04,0.07,-0.05,0,1,1.248027,1.104087,1.058393,1.057972
1431,28/02/1978,31/01/1983,Rolling 121,-0.05,0.02,0.15,-0.01,-0.15,0.52,0.57,0.6,0.48,0.53,0.045728182,0.057404189,0.051045577,0.048532231,0.048283998
1156,NA,NA,Relative to AR:,0,0.07,0.2,0.04,-0.1,0,0.05,0.08,-0.04,0.01,1,1.255335,1.116283,1.06132,1.055891
1441,31/03/1978,28/02/1983,Rolling 122,-0.05,0.01,0.17,-0.01,-0.15,0.5,0.57,0.62,0.47,0.53,0.045633317,0.057393338,0.050299893,0.048548212,0.048133037
1157,NA,NA,Relative to AR:,0,0.06,0.22,0.04,-0.1,0,0.07,0.12,-0.03,0.03,1,1.257707,1.102262,1.063876,1.054778
1451,30/04/1978,31/03/1983,Rolling 123,-0.03,0.01,0.18,0,-0.14,0.5,0.57,0.62,0.47,0.53,0.045628096,0.057538672,0.05014571,0.048528545,0.048108709
1158,NA,NA,Relative to AR:,0,0.04,0.21,0.03,-0.11,0,0.07,0.12,-0.03,0.03,1,1.261036,1.099009,1.063567,1.054366
1461,31/05/1978,30/04/1983,Rolling 124,0.01,0.05,0.25,0.04,-0.08,0.5,0.58,0.63,0.48,0.55,0.045130385,0.056200905,0.047659966,0.0476178,0.047200455
1159,NA,NA,Relative to AR:,0,0.04,0.24,0.03,-0.09,0,0.08,0.13,-0.02,0.05,1,1.245301,1.056051,1.055116,1.045869
1471,30/06/1978,31/05/1983,Rolling 125,0.01,0.05,0.24,0.02,-0.09,0.5,0.57,0.62,0.47,0.53,0.045185352,0.055026112,0.047337466,0.047751381,0.047312026
1160,NA,NA,Relative to AR:,0,0.04,0.23,0.01,-0.1,0,0.07,0.12,-0.03,0.03,1,1.217787,1.047629,1.056789,1.047066
1481,31/07/1978,30/06/1983,Rolling 126,0.01,0.05,0.27,0.03,-0.08,0.48,0.57,0.63,0.47,0.55,0.045242409,0.05502612,0.046954468,0.047747824,0.047196226
1162,NA,NA,Relative to AR:,0,0.04,0.26,0.02,-0.09,0,0.09,0.15,-0.01,0.07,1,1.216251,1.037842,1.055378,1.043186
1491,31/08/1978,31/07/1983,Rolling 127,0.02,0.07,0.27,0.05,-0.07,0.5,0.58,0.63,0.47,0.55,0.044979247,0.053851759,0.046483913,0.047107231,0.047241766
1163,NA,NA,Relative to AR:,0,0.05,0.25,0.03,-0.09,0,0.08,0.13,-0.03,0.05,1,1.197258,1.033452,1.04731,1.050301
1501,30/09/1978,31/08/1983,Rolling 128,0.02,0.07,0.26,0.05,-0.06,0.5,0.58,0.62,0.47,0.55,0.044861977,0.053601532,0.046923864,0.047047814,0.047188494
1164,NA,NA,Relative to AR:,0,0.05,0.24,0.03,-0.08,0,0.08,0.12,-0.03,0.05,1,1.19481,1.045961,1.048724,1.051859
1511,31/10/1978,30/09/1983,Rolling 129,0.02,0.07,0.27,0.06,-0.06,0.48,0.57,0.62,0.48,0.57,0.044855392,0.053540488,0.04661894,0.046952634,0.047036906
1165,NA,NA,Relative to AR:,0,0.05,0.25,0.04,-0.08,0,0.09,0.14,0,0.09,1,1.193624,1.039316,1.046756,1.048634
1521,30/11/1978,31/10/1983,Rolling 130,-0.03,0.02,0.21,-0.01,-0.12,0.47,0.55,0.6,0.47,0.55,0.043198479,0.053337266,0.046723541,0.04624822,0.045586848
1166,NA,NA,Relative to AR:,0,0.05,0.24,0.02,-0.09,0,0.08,0.13,0,0.08,1,1.234702,1.081602,1.070598,1.055288
1531,31/12/1978,30/11/1983,Rolling 131,-0.02,0.03,0.21,0,-0.11,0.47,0.57,0.62,0.48,0.55,0.043194669,0.052920771,0.046626202,0.046049324,0.045590492
1167,NA,NA,Relative to AR:,0,0.05,0.23,0.02,-0.09,0,0.1,0.15,0.01,0.08,1,1.225169,1.079443,1.066088,1.055466
1541,31/01/1979,31/12/1983,Rolling 132,-0.03,0.03,0.21,0,-0.11,0.48,0.58,0.62,0.5,0.53,0.043214262,0.052742222,0.046530492,0.046002574,0.045701572
1168,NA,NA,Relative to AR:,0,0.06,0.24,0.03,-0.08,0,0.1,0.14,0.02,0.05,1,1.220482,1.076739,1.064523,1.057558
1551,28/02/1979,31/01/1984,Rolling 133,-0.02,0.04,0.22,0,-0.11,0.5,0.6,0.63,0.52,0.52,0.043012028,0.052435007,0.046195238,0.045800498,0.045651577
1169,NA,NA,Relative to AR:,0,0.06,0.24,0.02,-0.09,0,0.1,0.13,0.02,0.02,1,1.219078,1.074007,1.06483,1.061368
1561,31/03/1979,29/02/1984,Rolling 134,-0.04,0.02,0.19,0.03,-0.1,0.5,0.58,0.63,0.52,0.52,0.04313585,0.053048248,0.047093779,0.045348672,0.045620563
1170,NA,NA,Relative to AR:,0,0.06,0.23,0.07,-0.06,0,0.08,0.13,0.02,0.02,1,1.229795,1.091755,1.051299,1.057602
1571,30/04/1979,31/03/1984,Rolling 135,-0.03,0.03,0.22,0.08,-0.01,0.5,0.58,0.63,0.52,0.53,0.042670099,0.052175872,0.045774506,0.043849346,0.04432259
1172,NA,NA,Relative to AR:,0,0.06,0.25,0.11,0.02,0,0.08,0.13,0.02,0.03,1,1.222774,1.072754,1.027636,1.038727
1581,31/05/1979,30/04/1984,Rolling 136,-0.03,0.03,0.22,0.08,-0.02,0.5,0.58,0.63,0.52,0.52,0.042668781,0.05203947,0.045004854,0.043725068,0.044343388
1173,NA,NA,Relative to AR:,0,0.06,0.25,0.11,0.01,0,0.08,0.13,0.02,0.02,1,1.219615,1.054749,1.024756,1.039247
1591,30/06/1979,31/05/1984,Rolling 137,-0.04,0.03,0.2,0.06,-0.03,0.5,0.58,0.63,0.5,0.52,0.043389233,0.052585614,0.045710507,0.044618394,0.045204836
1174,NA,NA,Relative to AR:,0,0.07,0.24,0.1,0.01,0,0.08,0.13,0,0.02,1,1.211951,1.053499,1.028329,1.041845
1601,31/07/1979,30/06/1984,Rolling 138,-0.05,0.03,0.18,0.05,-0.04,0.5,0.57,0.62,0.5,0.52,0.04323989,0.052638686,0.046118196,0.0445777,0.045162413
1175,NA,NA,Relative to AR:,0,0.08,0.23,0.1,0.01,0,0.07,0.12,0,0.02,1,1.217364,1.066566,1.030939,1.044462
